school_id,school_name,degree_type,state_abbrev,school_website,candidate_source_url,candidate_source_title,candidate_source_type,source_status,official_domain_status,official_domain_score,official_match_reason,discovery_method,search_query,discovered_at,last_checked,fetch_status,review_status,notes
do_pnwu_com_pacific_northwest_university_of_health_sciences_college_of_osteopathic_,Pacific Northwest University of Health Sciences College of Osteopathic Medicine,DO,WA,http://www.pnwu.edu/,http://www.pnwu.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""PNWU-COM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_pcom_philadelphia_college_of_osteopathic_medicine_philadelphia_pennsylvania,Philadelphia College of Osteopathic Medicine,DO,PA,https://www.pcom.edu/,https://www.pcom.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""PCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_pcom_georgia_philadelphia_college_of_osteopathic_medicine_georgia_suwanee_georgi,Philadelphia College of Osteopathic Medicine Georgia,DO,GA,https://www.pcom.edu/campuses/georgia-campus/,https://www.pcom.edu/campuses/georgia-campus/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""PCOM Georgia"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_pcom_south_georgia_philadelphia_college_of_osteopathic_medicine_south_georgia_mo,Philadelphia College of Osteopathic Medicine South Georgia,DO,GA,https://www.pcom.edu/south-georgia/,https://www.pcom.edu/south-georgia/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""PCOM South Georgia"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_rvucom_rocky_vista_university_college_of_osteopathic_medicine_parker_colorado,Rocky Vista University College of Osteopathic Medicine,DO,CO,http://www.rvu.edu/,http://www.rvu.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""RVUCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_rvucom_su_campus_rocky_vista_university_college_of_osteopathic_medicine_ivins_ut,Rocky Vista University College of Osteopathic Medicine,DO,UT,http://www.rvu.edu/,http://www.rvu.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""RVUCOM-SU Campus"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_rvu_mcom_rocky_vista_university_montana_college_of_osteopathic_medicine_billings,Rocky Vista University – Montana College of Osteopathic Medicine,DO,MT,https://www.rvu.edu/mcom/,https://www.rvu.edu/mcom/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""RVU-MCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_rowan_virtuasom_sewell_rowan_virtua_school_of_osteopathic_medicine_sewell_new_je,Rowan-Virtua School of Osteopathic Medicine,DO,NJ,https://som.rowan.edu/oursom/campus/sewell/,https://som.rowan.edu/oursom/campus/sewell/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""Rowan-VirtuaSOM-Sewell"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_rowan_virtuasom_rowan_virtua_school_of_osteopathic_medicine_stratford_new_jersey,Rowan-Virtua School of Osteopathic Medicine,DO,NJ,https://www.rowan.edu/som/,https://www.rowan.edu/som/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""Rowan-VirtuaSOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_tvcom_the_valley_college_of_osteopathic_medicine_phoenix_arizona,The Valley College of Osteopathic Medicine,DO,AZ,https://thevalleycom.org/,https://thevalleycom.org/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""TVCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_tourocom_harlem_touro_college_of_osteopathic_medicine_new_york_new_york,Touro College of Osteopathic Medicine,DO,NY,http://tourocom.touro.edu/,http://tourocom.touro.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""TouroCOM-Harlem"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_tourocom_middletown_touro_college_of_osteopathic_medicine_middletown_new_york,Touro College of Osteopathic Medicine,DO,NY,http://tourocom.touro.edu/about-us/our-facilities/middletown-campus/,http://tourocom.touro.edu/about-us/our-facilities/middletown-campus/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""TouroCOM-Middletown"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_tourocom_great_falls_touro_college_of_osteopathic_medicine_great_falls_great_fal,Touro College of Osteopathic Medicine – Great Falls,DO,MT,https://tourocom.touro.edu/,https://tourocom.touro.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""TouroCOM-Great Falls"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_tucom_touro_university_college_of_osteopathic_medicine_california_vallejo_califo,Touro University College of Osteopathic Medicine-California,DO,CA,http://www.tu.edu/,http://www.tu.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""TUCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_tuncom_touro_university_nevada_college_of_osteopathic_medicine_henderson_nevada,Touro University Nevada College of Osteopathic Medicine,DO,NV,https://tun.touro.edu/,https://tun.touro.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""TUNCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_unecom_university_of_new_england_college_of_osteopathic_medicine_biddeford_maine,University of New England College of Osteopathic Medicine,DO,ME,http://www.une.edu/com,http://www.une.edu/com,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""UNECOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_unthsc_tcom_university_of_north_texas_health_science_center_texas_college_of_ost,University of North Texas Health Science Center Texas College of Osteopathic Medicine,DO,TX,https://www.unthsc.edu/texas-college-of-osteopathic-medicine/,https://www.unthsc.edu/texas-college-of-osteopathic-medicine/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""UNTHSC/TCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
