source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,coursework_upward_transfer,coursework_accelerated,coursework_supplemental,coursework_additional_info,notes
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,46,256,331.924,IL,Northwestern University The Feinberg School of Medicine,Northwestern University The Feinberg School of Medicine,Coursework completed at a junior or community college will be included in our holistic review. We recommend that the required pre-med courses be completed at a four-year college or university.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,47,256,304.563,IL,Rush Medical College of Rush University Medical Center,Rush Medical College of Rush University Medical Center,"While RMC accepts community college coursework, it is highly recommended that higher-level basic science coursework and/or prerequisite coursework be taken at a four-year institution.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,48,256,236.627,IL,Southern Illinois University School of Medicine,Southern Illinois University School of Medicine,"We will accept community college coursework, however, the upper level science courses we recommend would require attending an undergraduate/graduate institution. While we do not require a bachelor's degree in order to apply, 100% of our matriculants have obtained a bachelors degree. We do require at least 90 semester hours of undergraduate work from an accredited US or Canadian Degree-Granting college or University. Preference is given to those who have earned a bachelor's degree.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,49,256,200.659,IL,University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,"Prerequisites taken at a community college can be used to demonstrate our required competencies. If you take prerequisite courses at a community college, we do recommend taking rigorous, upper-level science courses at a four-year institution as well.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,50,256,173.299,IL,University of Illinois College of Medicine,University of Illinois College of Medicine,"We evaluate candidates on a mission aligned basis and will consider upward transfer, accelerated, and supplemental coursework at a community college on a case-by-case basis.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,51,256,145.939,IN,Indiana University School of Medicine,Indiana University School of Medicine,Acceptance of coursework will be considered for applicants who complete some course work toward a degree at a community college or junior college and then transfer to a four-year institution.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,52,256,109.971,KS,University of Kansas School of Medicine,University of Kansas School of Medicine,"All coursework from from a college or university accredited by the Council for Higher Education Accreditation (CHEA) will be considered, community college coursework is accepted. Courses taken to meet the biology and chemistry prerequisites must be courses required of science majors.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,53,256,82.611,KY,University of Kentucky College of Medicine,University of Kentucky College of Medicine,Please see website for details as some AP coursework is not accepted for prerequisite requirements. https://medicine.uky.edu/sites/meded/you-apply,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,54,256,55.251,KY,University of Louisville School of Medicine,University of Louisville School of Medicine,"Credit granted by junior/community colleges is accepted. All coursework must be graded to fulfill prerequisite requirements or be supplemented by graded, advanced work in the same subject area.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,55,342,472.364,LA,Louisiana State University School of Medicine in New Orleans,Louisiana State University School of Medicine in New Orleans,While credits from a 4 year institution is preferably. Applicants may still apply with credits from community colleges.,,,,
