source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,59,Northwestern University The Feinberg School of Medicine,Northwestern University The Feinberg School of Medicine,,IL,MD,3.93,3.93,521,521,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,60,Rush Medical College of Rush University,Rush Medical College of Rush University,,IL,MD,3.72,3.72,510,510,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,61,Southern Illinois University School of Medicine*,Southern Illinois University School of Medicine,,IL,MD,3.7,3.7,508,508,498,498,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,62,University of Chicago Pritzker School of Medicine,University of Chicago Pritzker School of Medicine,,IL,MD,3.91,3.91,521,521,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,63,University of Illinois College of Medicine*,University of Illinois College of Medicine,,IL,MD,3.82,3.82,511,511,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,64,Chicago College of Osteopathic Medicine of Midwestern University,Chicago College of Osteopathic Medicine of Midwestern University,,IL,DO,3.65,3.65,509,509,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,65,Indiana University School of Medicine*,Indiana University School of Medicine,,IN,MD,3.85,3.85,512,512,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,66,Marian University College of Osteopathic Medicine,Marian University College of Osteopathic Medicine,,IN,DO,3.76,3.76,501,501,491,491,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,67,University of Kansas School of Medicine*,University of Kansas School of Medicine,,KS,MD,3.84,3.84,509,509,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,68,Kansas College of Osteopathic Medicine,Kansas College of Osteopathic Medicine,,KS,DO,3.0 Minimum for consideration,3,NR,,500,500,
