source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,54,Southern Illinois University School of Medicine,Southern Illinois University School of Medicine,http://www.siumed.edu/studentaffairs/admissions/home.html,Illinois,,3.81,3.81,MCAT Minimum - 498 MCAT Average - 506,506,MCAT Minimum - 498 MCAT Average - 506,498,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,55,University of Chicago Pritzker School of Medicine,University of Chicago Pritzker School of Medicine,http://pritzker.uchicago.edu/page/admissions,Illinois,,3.93,3.93,MCAT - 521,521,MCAT - 521,521,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,56,University of Illinois College of Medicine,University of Illinois College of Medicine,http://www.medicine.uic.edu/education/m_d_admissions,Illinois,,3.76,3.76,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,58,Indiana University School of Medicine,Indiana University School of Medicine,https://medicine.iu.edu/education/md/admissions/,Indiana,,3.76,3.76,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,60,University of Iowa Carver College of Medicine,University of Iowa Carver College of Medicine,https://medicine.uiowa.edu/md/admission-medical-school-md,Iowa,,3.85,3.85,MCAT - 512,512,MCAT - 512,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,62,University of Kansas School of Medicine,University of Kansas School of Medicine,http://www.kumc.edu/school-of-medicine/education/admissions.html,Kansas,,Average - 3.88,3.88,MCAT - 512,512,MCAT - 512,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,64,University of Kentucky College of Medicine,University of Kentucky College of Medicine,http://meded.med.uky.edu/medical-school-admissions,Kentucky,,3.81,3.81,MCAT - 508,508,MCAT - 508,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,65,University of Louisville School of Medicine,University of Louisville School of Medicine,http://louisville.edu/medicine/admissions,Kentucky,,3.77,3.77,MCAT - 509,509,MCAT - 509,509,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,67,Louisiana State University-New Orleans School of Medicine,Louisiana State University-New Orleans School of Medicine,http://www.medschool.lsuhsc.edu/admissions/,Louisiana,,3.82,3.82,MCAT - 509,509,MCAT - 509,509,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,68,Louisiana State University-Shreveport School of Medicine,Louisiana State University-Shreveport School of Medicine,https://www.lsuhs.edu/our-schools/school-of-medicine,Louisiana,,3.77,3.77,MCAT - 506,506,MCAT - 506,506,
