source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,support_systems_for_gender_and_sexual_minority_students,notes
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,34,12,559.661,FL,University of Miami Leonard M. Miller School of Medicine,University of Miami Leonard M. Miller School of Medicine,A support system for gender and sexual minority students is available jointly through the Office of Student Services and the Office of Belonging & Inclusive Excellence.,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,35,12,541.661,FL,USF Health Morsani College of Medicine,USF Health Morsani College of Medicine,https://health.usf.edu/care/executive-wellness,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,36,12,438.661,GA,Emory University School of Medicine,Emory University School of Medicine,"https://www.med.emory.edu/about/diversity/index.html The Emory Medical Alliance (EMA) student organization provides support and community for classmates who identify as LGBTQ+. EMA is dedicated not only to creating a visible community within the medical school, but also to educating all medical students to best serve the LGBTQ+ patient population. Members of EMA frequently work with the administration to improve LGBTQ+ visibility in the curriculum and around the school. An LGBTQ Healthcare Week is hosted by EMA and provides education, mentorship, and service opportunities for medical students. Numerous student organizations across the University support LGBTQ+ students and provide networking and support for medical students.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,37,12,371.660,GA,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,"The Medical College of Georgia provides several targeted support systems for gender and sexual minority students, ranging from student-led clinical opportunities to specialized advocacy organizations. One of the most prominent support structures is the Equality Clinic of Augusta, which serves as both a healthcare resource and a primary training ground for students. Additionally, students can connect with peers through the MCG Pride Chapter and the Augusta University Lambda Alliance as well as seek individual support through the MCG Student Affairs Office.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,38,12,340.660,GA,Mercer University School of Medicine,Mercer University School of Medicine,"Mercer University School of Medicine supports all of its students of each campus. To learn more about our Students Affairs Offices and programming, please visit our website: https://medicine.mercer.edu/student-affairs-and-services/.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,39,12,309.660,GA,Morehouse School of Medicine,Morehouse School of Medicine,"The Alliance Student Group, Student Health and Wellness Center, Counseling Services, Student Success Managers, Office of Student Learning and Educational Resources, and Office of Inclusive Learning & Accessibility Services.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,40,12,291.660,GA,University of Georgia School of Medicine,University of Georgia School of Medicine,,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,41,12,215.660,HI,"University of Hawaii, John A. Burns School of Medicine","University of Hawaii, John A. Burns School of Medicine","John A. Burns School of Medicine Office of Student Affairs University of Hawaii at Manoa LGBTQ+ Center University of Hawaii at Manoa Office of Title IX and the Office of Institutional Equity University of Hawaii at Manoa Office of Gender Equity University of Hawaii EEO/AA Office University of Hawaii at Manoa Counseling and Student Development Center Prevention, Awareness, and Understanding (PAU) Violence Program Domestic Violence Action Center",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,42,12,94.659,IA,University of Iowa Roy J. and Lucille A. Carver College of Medicine,University of Iowa Roy J. and Lucille A. Carver College of Medicine,"EQUAL Meds is an active student group with strong support from the administration, faculty, staff, and students. EQUAL Meds mission is to educate our community on health issues that pertain to lesbian, gay, bisexual, transgender, queer, and/or questioning (LGBTQ) patients and to provide a support network for LGBTQ health professional students. EQUAL Meds also provides a forum where LGBTQ identified students can interact with other graduate and students as well as with faculty and staff from the larger University of Iowa Health Care community. EQUAL Meds sponsors social gatherings with opportunities for networking, mentoring, and creating community. OutList is a voluntary and public webpage that lists LGBTQ+ identified community members ’ names, affiliations, and e-mail addresses. Additionally, there is an option to list specific gender identity, sexual identity, and/or pronouns. The community members may include faculty, staff, residents, fellows, post docs, and/or students.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,43,14,572.661,IL,Carle Illinois College of Medicine,Carle Illinois College of Medicine,"The Office of Student Affairs and the Office of Diversity, Equity, and Inclusion provides support to all students, including gender and sexual minority students. Student interest groups such as Carle Pride and the Women ’ s Health Interest Group are supported through the Offices of Student Affairs and Diversity, Equity, and Inclusion. Carle Pride creates a support network for LGBTQ+ identifying and allied medical students and prepare individuals to provide LGBTQ+ inclusive care to patients. Women's Health Interest Group creates a space to learn about women's health and educating on current standards of care, research, and policies that aim to better the lives and health of women. UIUC Counseling Center offers support groups for LGBTQ+ students. The Gender and Sexuality Resource Center offers educational and social programs that foster an environment that is open, welcoming and safe for all identities.",
