school_id,school_name,degree_type,campus_name,state_abbrev,school_website,aacom_profile_url,aacom_profile_title,aacom_city,aacom_state_abbrev,aacom_slug,match_status,match_score,match_reason,discovery_method,source_last_checked,fetch_status,review_status,notes
do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,DO,NYITCOM,NY,https://www.nyit.edu/medicine,https://www.aacom.org/detail-pages/com/new-york-institute-of-technology-college-of-osteopathic-medicine,New York Institute of Technology College of Osteopathic Medicine,Old Westbury,NY,new-york-institute-of-technology-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.29
do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,DO,NYITCOM-Jonesboro,AR,https://www.nyit.edu/arkansas,https://www.aacom.org/detail-pages/com/nyitcom-at-arkansas-state,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,Jonesboro,AR,nyitcom-at-arkansas-state,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,Noorda College of Osteopathic Medicine,DO,NoordaCOM,UT,https://noordacom.org/,https://www.aacom.org/detail-pages/com/noorda-college-of-osteopathic-medicine,Noorda College of Osteopathic Medicine,Provo,UT,noorda-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.28
do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,NSU-KPCOM,FL,https://osteopathic.nova.edu/,https://www.aacom.org/detail-pages/com/nova-southeastern-university-dr.-kiran-c.-patel-college-of-osteopathic-medicine,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine,Fort Lauderdale,FL,nova-southeastern-university-dr.-kiran-c.-patel-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_nsu_kpcom_clearwater_nova_southeastern_university_dr_kiran_c_patel_college_of_os,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,NSU-KPCOM-Clearwater,FL,https://osteopathic.nova.edu/,https://www.aacom.org/detail-pages/com/nsu-kpcom-in-clearwater,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine in Clearwater,Clearwater,FL,nsu-kpcom-in-clearwater,safe_match,1.58,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.16
do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,Ohio University Heritage College of Osteopathic Medicine,DO,OU-HCOM,OH,https://www.ohio.edu/medicine/,https://www.aacom.org/detail-pages/com/ohio-university-heritage-college-of-osteopathic-medicine,Ohio University Heritage College of Osteopathic Medicine,Athens,OH,ohio-university-heritage-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,Ohio University Heritage College of Osteopathic Medicine,DO,OU-HCOM-Cleveland,OH,https://www.ohio.edu/medicine/about/campuses/cleveland/index.cfm,https://www.aacom.org/detail-pages/com/ou-hcom-cleveland,Ohio University Heritage College of Osteopathic Medicine Cleveland,Warrensville Heights,OH,ou-hcom-cleveland,safe_match,1.20,High-confidence AACOM profile match.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.16
do_ou_hcom_dublin_ohio_university_heritage_college_of_osteopathic_medicine_dublin_d,Ohio University Heritage College of Osteopathic Medicine – Dublin,DO,OU-HCOM-Dublin,OH,https://www.ohio.edu/medicine/about/campuses/dublin/index.cfm,https://www.aacom.org/detail-pages/com/ou-hcom-dublin,Ohio University Heritage College of Osteopathic Medicine Dublin,Dublin,OH,ou-hcom-dublin,safe_match,1.58,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.16
do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,DO,OSU-COM,OK,https://health.okstate.edu/,https://www.aacom.org/detail-pages/com/oklahoma-state-university-college-of-osteopathic-medicine,Oklahoma State University College of Osteopathic Medicine,Tulsa,OK,oklahoma-state-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,DO,OSU-COM,OK,https://health.okstate.edu/,https://www.aacom.org/detail-pages/com/osu-com-at-cherokee-nation,Oklahoma State University College of Osteopathic Medicine at Cherokee Nation,Tahlequah,OK,osu-com-at-cherokee-nation,safe_match,1.16,High-confidence AACOM profile match.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.09
