source_key,source_name,source_url,value_url,source_row_number,school_name_raw,school_name_clean,metric_context,gpa,mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.bumc.bu.edu/busm/admissions/degree-programs/md-program/,75,Boston University School of Medicine,Boston University School of Medicine,published school average GPA and MCAT,3.86,518,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://hms.harvard.edu/departments/admissions,76,Harvard Medical School,Harvard Medical School,published school average GPA and MCAT,3.94,520,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.tufts.edu/Admissions.aspx,77,Tufts University School of Medicine,Tufts University School of Medicine,published school average GPA and MCAT,3.78,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.umassmed.edu/som/admissions/degree-programs/md-program/,78,University of Massachusetts Medical School,University of Massachusetts Medical School,published school average GPA and MCAT,3.82,516,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.cmich.edu/academics/colleges/college-of-medicine,81,Central Michigan University College of Medicine,Central Michigan University College of Medicine,published school average GPA and MCAT,3.69,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://mdadmissions.msu.edu/ApplicationProcess/future/default2.htm,82,Michigan State University College of Human Medicine,Michigan State University College of Human Medicine,published school average GPA and MCAT,3.76,509,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://wwwp.oakland.edu/medicine/admissions/about/,83,Oakland University William Beaumont School of Medicine,Oakland University William Beaumont School of Medicine,published school average GPA and MCAT,3.85,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.cmich.edu/academics/colleges/college-of-medicine,84,University of Michigan Medical School,University of Michigan Medical School,published school average GPA and MCAT,3.87,518,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://admissions.med.wayne.edu/,85,Wayne State University School of Medicine,Wayne State University School of Medicine,published school average GPA and MCAT,3.86,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.wmich.edu/admissions,86,Western Michigan University School of Medicine,Western Michigan University School of Medicine,published school average GPA and MCAT,3.79,516,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.mayo.edu/mayo-clinic-school-of-medicine/programs/md/admissions-and-application-process,88,Mayo Medical School,Mayo Medical School,published school average GPA and MCAT,3.94,520,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.med.umn.edu/admissions,89,University of Minnesota Medical School - Twin Cities,University of Minnesota Medical School - Twin Cities,published school average GPA and MCAT,3.81,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.med.umn.edu/admissions,90,University of Minnesota Medical School - Duluth,University of Minnesota Medical School - Duluth,published school average GPA and MCAT,3.65,503,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.umc.edu/som/Departments%20and%20Offices/SOM%20Administrative%20Offices/SOM%20Admissions/SOM%20Admissions.html,92,University of Mississippi School of Medicine,University of Mississippi School of Medicine,published school average GPA and MCAT,3.86,505,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.missouri.edu/admissions/,94,University of Missouri - Columbia School of Medicine,University of Missouri - Columbia School of Medicine,published school average GPA and MCAT,3.86,509,
