cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
154,Roseman University College of Medicine,cycletrack_acceptance_median,1,single_source,3.79,3.79,,508.5,508.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Roseman University College of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.79,508.5,https://cycletrack.org/explorer/school/Roseman,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
155,Rowan University School of Osteopathic Medicine,shemmassian,1,single_source,3.7,3.7,,508,508,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Rowan University School of Osteopathic Medicine,published school average GPA and MCAT,3.7,508,,source row carried an asterisk,,,,,,,,,,,,
156,Rush Medical College of Rush University,prospectivedoctor;shemmassian,2,minor_conflict,3.67;3.72,3.67 - 3.72,0.05,511;510,510 - 511,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Rush Medical College of Rush University,published school average GPA and MCAT,3.67,511,https://www.rushu.rush.edu/rush-medical-college/doctor-medicine-md-program,,Rush Medical College of Rush University,published school average GPA and MCAT,3.72,510,,,,,,,,,,,,,,
157,Rush Medical College of Rush University Medical Center,matchguy,1,single_source,3.72,3.72,,510,510,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Rush Medical College of Rush University Medical Center,published school average GPA and MCAT,3.72,510,,,,,,,,
158,Rush University,cycletrack_acceptance_median,1,single_source,3.8,3.8,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Rush University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.8,514,https://cycletrack.org/explorer/school/Rush,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
159,Rutgers New Jersey Medical School,prospectivedoctor;shemmassian,2,major_conflict,3.82;3.7,3.7 - 3.82,0.12,515;515,515 - 515,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Rutgers New Jersey Medical School,published school average GPA and MCAT,3.82,515,http://njms.rutgers.edu/admissions/prospective/index.cfm,,Rutgers New Jersey Medical School,published school average GPA and MCAT,3.7,515,,source row carried an asterisk,,,,,,,,,,,,
160,Rutgers Robert Wood Johnson Medical School,prospectivedoctor;shemmassian,2,close_agreement,3.75;3.7,3.7 - 3.75,0.05,514;514,514 - 514,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Rutgers Robert Wood Johnson Medical School,published school average GPA and MCAT,3.75,514,http://rwjms.rutgers.edu/education/admissions/index.html,,Rutgers Robert Wood Johnson Medical School,published school average GPA and MCAT,3.7,514,,source row carried an asterisk,,,,,,,,,,,,
161,Rutgers University (New Jersey),cycletrack_acceptance_median,1,single_source,3.89,3.89,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Rutgers University (New Jersey),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89,516,https://cycletrack.org/explorer/school/Rutgers - New Jersey,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
162,Rutgers University (Robert Wood Johnson),cycletrack_acceptance_median,1,single_source,3.88,3.88,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Rutgers University (Robert Wood Johnson),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.88,517,https://cycletrack.org/explorer/school/Rutgers - Robert Wood Johnson,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
163,SUNY - Downstate Medical Center College of Medicine,prospectivedoctor;shemmassian,2,close_agreement,3.74;3.73,3.73 - 3.74,0.01,514;513,513 - 514,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,SUNY - Downstate Medical Center College of Medicine,published school average GPA and MCAT,3.74,514,https://www.downstate.edu/education-training/college-of-medicine/index.html,,SUNY - Downstate Medical Center College of Medicine,published school average GPA and MCAT,3.73,513,,source row carried an asterisk,,,,,,,,,,,,
164,SUNY - Upstate Medical University,prospectivedoctor;shemmassian,2,close_agreement,3.77;3.74,3.74 - 3.77,0.03,513;512,512 - 513,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,SUNY - Upstate Medical University,published school average GPA and MCAT,3.77,513,http://www.upstate.edu/com/admissions/index.php,,SUNY - Upstate Medical University,published school average GPA and MCAT,3.74,512,,source row carried an asterisk,,,,,,,,,,,,
165,Saint Louis University,cycletrack_acceptance_median,1,single_source,3.91,3.91,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Saint Louis University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,517,https://cycletrack.org/explorer/school/Saint Louis,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
166,Sam Houston State University,cycletrack_acceptance_median,1,single_source,3.84,3.84,,510,510,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Sam Houston State University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.84,510,https://cycletrack.org/explorer/school/Sam Houston,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
167,San Juan Bautista School of Medicine,cycletrack_acceptance_median;prospectivedoctor;shemmassian,3,major_conflict,3.71;3.57;3.72,3.57 - 3.72,0.15,498;499;506,498 - 506,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,San Juan Bautista School of Medicine,published school average GPA and MCAT,3.71,498,http://www.sanjuanbautista.edu/school/md-program/admissions.html,,San Juan Bautista School of Medicine,published school average GPA and MCAT,3.57,499,,,,,,,,,San Juan Bautista School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.72,506,https://cycletrack.org/explorer/school/San Juan Bautista,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
168,Sidney Kimmel Medical College at Thomas Jefferson University,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.8;3.8;3.8,3.8 - 3.8,0,514;513;513,513 - 514,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Sidney Kimmel Medical College at Thomas Jefferson University,published school average GPA and MCAT,3.8,514,http://www.jefferson.edu/university/skmc/admissions.html,,Sidney Kimmel Medical College at Thomas Jefferson University,published school average GPA and MCAT,3.8,513,,,Sidney Kimmel Medical College at Thomas Jefferson University,published school average GPA and MCAT,3.8,513,,,,,,,,
169,Southern Illinois University,cycletrack_acceptance_median,1,single_source,3.94,3.94,,517.5,517.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Southern Illinois University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.94,517.5,https://cycletrack.org/explorer/school/Southern Illinois,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
170,Southern Illinois University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.81;3.79;3.7;3.81;2.8,2.8 - 3.81,1.01,506;516;508;512,506 - 516,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Southern Illinois University School of Medicine; Western Michigan University School of Medicine,published school average GPA and MCAT,3.81; 3.79,506; 516,http://www.siumed.edu/studentaffairs/admissions/home.html; http://med.wmich.edu/admissions,,Southern Illinois University School of Medicine; Western Michigan University School of Medicine,published school average GPA and MCAT,3.7; 3.81,508; 512,,source row carried an asterisk,Southern Illinois University School of Medicine,published school average GPA and MCAT,2.8,,,,,,,,,
171,Stanford University,cycletrack_acceptance_median,1,single_source,3.96,3.96,,521.5,521.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Stanford University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96,521.5,https://cycletrack.org/explorer/school/Stanford,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
172,State University of New York Downstate Health Sciences University,cycletrack_acceptance_median,1,single_source,3.83,3.83,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,State University of New York Downstate Health Sciences University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.83,516,https://cycletrack.org/explorer/school/SUNY Downstate,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
173,State University of New York Upstate Medical University,cycletrack_acceptance_median;matchguy,2,major_conflict,3.74;3.84,3.74 - 3.84,0.1,512;515,512 - 515,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,State University of New York Upstate Medical University,published school average GPA and MCAT,3.74,512,,,State University of New York Upstate Medical University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,515,https://cycletrack.org/explorer/school/SUNY Upstate,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
174,Stony Brook University,cycletrack_acceptance_median,1,single_source,3.91,3.91,,518.5,518.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Stony Brook University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,518.5,https://cycletrack.org/explorer/school/Stony Brook,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
175,TCU and UNTHSC School of Medicine,matchguy;shemmassian,2,close_agreement,3.81;3.81,3.81 - 3.81,0,512;512,512 - 512,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,TCU and UNTHSC School of Medicine,published school average GPA and MCAT,3.81,512,,,TCU and UNTHSC School of Medicine,published school average GPA and MCAT,3.81,512,,,,,,,,
176,Temple University,cycletrack_acceptance_median,1,single_source,3.84,3.84,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Temple University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,515,https://cycletrack.org/explorer/school/Temple,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
177,Temple University Lewis Katz School of Medicine,prospectivedoctor;shemmassian,2,major_conflict,3.77;3.7,3.7 - 3.77,0.07,513;510,510 - 513,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Temple University Lewis Katz School of Medicine,published school average GPA and MCAT,3.77,513,https://medicine.temple.edu/admissions,,Temple University Lewis Katz School of Medicine,published school average GPA and MCAT,3.7,510,,source row carried an asterisk,,,,,,,,,,,,
178,Texas A&M Health Science Center College of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.84;3.89,3.84 - 3.89,0.05,513;513,513 - 513,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Texas A&M Health Science Center College of Medicine,published school average GPA and MCAT,3.84,513,https://medicine.tamhsc.edu/admissions/index.html,,Texas A&M Health Science Center College of Medicine,published school average GPA and MCAT,3.89,513,,source row carried an asterisk,,,,,,,,,,,,
179,Texas A&M University,cycletrack_acceptance_median,1,single_source,3.93,3.93,,518,518,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Texas A&M University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,518,https://cycletrack.org/explorer/school/Texas A&M,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
180,Texas Christian University,cycletrack_acceptance_median,1,single_source,3.93,3.93,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Texas Christian University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,514,https://cycletrack.org/explorer/school/Texas Christian University,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
181,Texas Tech University (Foster),cycletrack_acceptance_median,1,single_source,3.96,3.96,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Texas Tech University (Foster),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96,517,https://cycletrack.org/explorer/school/Texas Tech - Foster,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
182,Texas Tech University (Lubbock),cycletrack_acceptance_median,1,single_source,3.96,3.96,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Texas Tech University (Lubbock),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96,516,https://cycletrack.org/explorer/school/Texas Tech - Lubbock,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
183,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.89;3.71;3.84;3.85;3.84,3.71 - 3.89,0.18,512;510;509;509;509,509 - 512,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine; Texas Tech University Health Sciences Center School of Medicine - Lubbock,published school average GPA and MCAT,3.89; 3.71,512; 510,http://elpaso.ttuhsc.edu/som/admissions/; http://www.ttuhsc.edu/som/admissions/,,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine; Texas Tech University Health Sciences Center School of Medicine - Lubbock,published school average GPA and MCAT,3.84; 3.85,509,,source row carried an asterisk,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,published school average GPA and MCAT,3.84,509,,,,,,,,
184,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,matchguy,1,single_source,3.87,3.87,,517.6,517.6,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,published school average GPA and MCAT,3.87,517.6,,,,,,,,
185,The University of Toledo College of Medicine and Life Sciences,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.76;3.78;3.78,3.76 - 3.78,0.02,510;510;510,510 - 510,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,The University of Toledo College of Medicine and Life Sciences,published school average GPA and MCAT,3.76,510,https://www.utoledo.edu/med/md/,,The University of Toledo College of Medicine and Life Sciences,published school average GPA and MCAT,3.78,510,,source row carried an asterisk,The University of Toledo College of Medicine and Life Sciences,published school average GPA and MCAT,3.78,510,,,,,,,,
186,The University of Vermont Larner College of Medicine,prospectivedoctor;shemmassian,2,close_agreement,3.7;3.7,3.7 - 3.7,0,512;512,512 - 512,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,The University of Vermont Larner College of Medicine,published school average GPA and MCAT,3.7,512,http://www.med.uvm.edu/admissions,,The University of Vermont Larner College of Medicine,published school average GPA and MCAT,3.7,512,,source row carried an asterisk,,,,,,,,,,,,
187,The University of Western Ontario - Schulich School of Medicine & Dentistry,matchguy,1,single_source,3.96,3.96,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,The University of Western Ontario - Schulich School of Medicine & Dentistry,published school average GPA and MCAT,3.96,513,,,,,,,,
188,Thomas Jefferson University,cycletrack_acceptance_median,1,single_source,3.88,3.88,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Thomas Jefferson University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.88,516,https://cycletrack.org/explorer/school/Jefferson,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
189,Touro College of Osteopathic Medicine - Middletown Campus,shemmassian,1,single_source,3.592;3.584,3.584 - 3.592,0.008,504.864;505.376,504.864 - 505.376,0.512,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Touro College of Osteopathic Medicine - Middletown Campus; Touro College of Osteopathic Medicine - Harlem Campus,published school average GPA and MCAT,3.592; 3.584,504.864; 505.376,,,,,,,,,,,,,,
190,Touro University (California),cycletrack_acceptance_median,1,single_source,3.77,3.77,,511,511,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Touro University (California),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.77,511,https://cycletrack.org/explorer/school/Touro - California,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
191,Touro University (Nevada),cycletrack_acceptance_median,1,single_source,3.74,3.74,,508,508,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Touro University (Nevada),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.74,508,https://cycletrack.org/explorer/school/Touro - Nevada,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
192,Touro University California College of Osteopathic Medicine,shemmassian,1,single_source,3.58;3.45;3.54,3.45 - 3.58,0.13,506;504.1;506.9,504.1 - 506.9,2.8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Touro University California College of Osteopathic Medicine; California Health Sciences University College of Osteopathic Medicine; Touro University - Nevada College of Osteopathic Medicine,published school average GPA and MCAT,3.58; 3.45; 3.54,506; 504.1; 506.9,,,,,,,,,,,,,,
193,Tufts University,cycletrack_acceptance_median,1,single_source,3.92,3.92,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Tufts University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.92,517,https://cycletrack.org/explorer/school/Tufts,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
194,Tulane University,cycletrack_acceptance_median,1,single_source,3.85,3.85,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Tulane University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,516,https://cycletrack.org/explorer/school/Tulane,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
195,USF Health Morsani College of Medicine,matchguy,1,single_source,3.96,3.96,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,USF Health Morsani College of Medicine,published school average GPA and MCAT,3.96,520,,,,,,,,
196,Uniformed Services University,cycletrack_acceptance_median,1,single_source,3.84,3.84,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Uniformed Services University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,512,https://cycletrack.org/explorer/school/Uniformed Services,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
197,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.76;3.7;3.7,3.7 - 3.76,0.06,510;510;510,510 - 510,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,published school average GPA and MCAT,3.76,510,https://medschool.usuhs.edu/admissions/application-requirements,,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,published school average GPA and MCAT,3.7,510,,source row carried an asterisk,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,published school average GPA and MCAT,3.7,510,,,,,,,,
198,Universidad Central Del Caribe School of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.73;3.8,3.73 - 3.8,0.07,499;501,499 - 501,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Universidad Central Del Caribe School of Medicine,published school average GPA and MCAT,3.73,499,http://www.uccaribe.edu/admission/,,Universidad Central Del Caribe School of Medicine,published school average GPA and MCAT,3.8,501,,,,,,,,,,,,,,
199,Universidad Central del Caribe,cycletrack_acceptance_median,1,single_source,3.7,3.7,,501,501,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Universidad Central del Caribe,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.7,501,https://cycletrack.org/explorer/school/Caribe,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
200,University at Buffalo,cycletrack_acceptance_median,1,single_source,3.84,3.84,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University at Buffalo,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,515,https://cycletrack.org/explorer/school/Buffalo,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
201,University at Buffalo Jacobs School of Medicine and Biomedical Sciences,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.75;3.7;3.7,3.7 - 3.75,0.05,512;510;510,510 - 512,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,SUNY - Buffalo Jacobs School of Medicine and Biomedical Sciences,published school average GPA and MCAT,3.75,512,http://medicine.buffalo.edu/education/md/admissions.html,,University at Buffalo Jacobs School of Medicine and Biomedical Sciences,published school average GPA and MCAT,3.7,510,,source row carried an asterisk,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,published school average GPA and MCAT,3.7,510,,,,,,,,
202,University of Alabama School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.86;3.69;3.83;3.78;3.88;3.83;3.76;3.86;3.82;3.87;3.7;3.84;3.84;3.76;3.6;3.91;3.87;3.87;3.84;3.83;3.91,3.6 - 3.91,0.31,510;512;514;514;512;514;512;518;513;509.4;517;509;512;509;510;516;514;509.4;500;509;516,500 - 518,18,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Alabama School of Medicine; University of California - Davis School of Medicine; University of Colorado School of Medicine; University of Miami Miller School of Medicine; University of Kansas School of Medicine; University of Maryland School of Medicine; University of Nevada School of Medicine; University of Pittsburgh School of Medicine; University of Utah School of Medicine,published school average GPA and MCAT,3.86; 3.69; 3.83; 3.78; 3.88; 3.76; 3.82,510; 512; 514; 518; 513,http://www.uab.edu/medicine/home/future-students/admissions; http://www.ucdmc.ucdavis.edu/mdprogram/admissions/index.html; http://www.ucdenver.edu/academics/colleges/medicalschool/education/Admissions/Pages/admissions.aspx; http://admissions.med.miami.edu/md-programs/general-md/; http://www.kumc.edu/school-of-medicine/education/admissions.html; http://www.medschool.umaryland.edu/admissions/MD-Application/; http://med.unr.edu/admissions; http://medschool.pitt.edu/admissions/index.aspx; https://medicine.utah.edu/students/programs/md/admissions/,,University of Alabama School of Medicine; University of Colorado School of Medicine; University of Kansas School of Medicine; University of Maryland School of Medicine; University of Nevada Reno School of Medicine; University of Nevada Las Vegas School of Medicine; University of Pittsburgh School of Medicine; University of Utah School of Medicine,published school average GPA and MCAT,3.87; 3.7; 3.84; 3.76; 3.6; 3.91,509.4; 517; 509; 512; 510; 516; 514,,source row carried an asterisk,University of Alabama School of Medicine; University of Colorado School of Medicine; University of Kansas School of Medicine; University of Maryland School of Medicine; University of Pittsburgh School of Medicine,published school average GPA and MCAT,3.87; 3.84; 3.83; 3.91,509.4; 500; 509; 516,,,,,,,,
203,University of Alabama at Birmingham,cycletrack_acceptance_median,1,single_source,3.91,3.91,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Alabama at Birmingham,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,513,https://cycletrack.org/explorer/school/Alabama,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
204,University of Alberta Faculty of Medicine and Dentistry,matchguy,1,single_source,3.84,3.84,,,,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,University of Alberta Faculty of Medicine and Dentistry,published school average GPA and MCAT,3.84,,,,,,,,,
205,University of Arizona (Phoenix),cycletrack_acceptance_median,1,single_source,3.96;3.85,3.85 - 3.96,0.11,519;513,513 - 519,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Arizona (Phoenix); University of Arizona (Tucson),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96; 3.85,519; 513,https://cycletrack.org/explorer/school/Arizona - Phoenix; https://cycletrack.org/explorer/school/Arizona - Tucson,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
206,University of Arizona College of Medicine - Tucson,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.79;3.81;3.74;3.8,3.74 - 3.81,0.07,510;515;508;516,508 - 516,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Arizona College of Medicine - Tucson; University of Arizona College of Medicine-Phoenix,published school average GPA and MCAT,3.79; 3.81,510; 515,http://medicine.arizona.edu/admissions; http://phoenixmed.arizona.edu/admissions,,University of Arizona College of Medicine - Tucson,published school average GPA and MCAT,3.74,508,,source row carried an asterisk,University of Arizona College of Medicine - Phoenix; University of Arizona College of Medicine - Tucson,published school average GPA and MCAT,3.8,516,,,,,,,,
207,University of Arizona School of Medicine - Phoenix,shemmassian,1,single_source,3.82,3.82,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of Arizona School of Medicine - Phoenix,published school average GPA and MCAT,3.82,514,,source row carried an asterisk,,,,,,,,,,,,
208,University of Arkansas,cycletrack_acceptance_median,1,single_source,3.89;3.95,3.89 - 3.95,0.06,511.5;515,511.5 - 515,3.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Arkansas; University of Kansas,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89; 3.95,511.5; 515,https://cycletrack.org/explorer/school/Arkansas; https://cycletrack.org/explorer/school/Kansas,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
209,University of Arkansas for Medical Sciences College of Medicine,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.85;3.85;3.83,3.83 - 3.85,0.02,508;507;509,507 - 509,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Arkansas for Medical Sciences College of Medicine,published school average GPA and MCAT,3.85,508,http://medicine.uams.edu/for-medical-school-applicants/,,University of Arkansas for Medical Sciences College of Medicine,published school average GPA and MCAT,3.85,507,,source row carried an asterisk,University of Arkansas for Medical Sciences College of Medicine,published school average GPA and MCAT,3.83,509,,,,,,,,
210,University of California (Davis),cycletrack_acceptance_median,1,single_source,3.84;3.91;3.75,3.75 - 3.91,0.16,516;518;513,513 - 518,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of California (Davis); University of California (Irvine); University of California (Riverside),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84; 3.91; 3.75,516; 518; 513,https://cycletrack.org/explorer/school/University of California Davis; https://cycletrack.org/explorer/school/University of California Irvine; https://cycletrack.org/explorer/school/University of California Riverside,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
