cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
35,Columbia University,cycletrack_acceptance_median,1,single_source,3.96,3.96,,524,524,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Columbia University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96,524,https://cycletrack.org/explorer/school/Columbia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
36,Columbia University College of Physicians and Surgeons,prospectivedoctor;shemmassian,2,minor_conflict,3.92;3.85,3.85 - 3.92,0.07,522;521,521 - 522,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Columbia University College of Physicians and Surgeons,published school average GPA and MCAT,3.92,522,http://ps.columbia.edu/education/admissions,,Columbia University College of Physicians and Surgeons,published school average GPA and MCAT,3.85,521,,,,,,,,,,,,,,
37,Cooper Medical School of Rowan University,prospectivedoctor;shemmassian,2,close_agreement,3.79;3.79,3.79 - 3.79,0,512;512,512 - 512,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Cooper Medical School of Rowan University,published school average GPA and MCAT,3.79,512,http://www.rowan.edu/coopermed/students/admissions/,,Cooper Medical School of Rowan University,published school average GPA and MCAT,3.79,512,,source row carried an asterisk,,,,,,,,,,,,
38,Cornell University,cycletrack_acceptance_median,1,single_source,3.93,3.93,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Cornell University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,520,https://cycletrack.org/explorer/school/Cornell,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
39,Creighton University,cycletrack_acceptance_median,1,single_source,3.86,3.86,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Creighton University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,516,https://cycletrack.org/explorer/school/Creighton,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
40,Dalhousie University Faculty of Medicine,matchguy,1,single_source,3.8;3.8,3.8 - 3.8,0,505,505,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Dalhousie University Faculty of Medicine; McGill University Faculty of Medicine,published school average GPA and MCAT,3.8,505,,,,,,,,
41,Dartmouth College,cycletrack_acceptance_median,1,single_source,3.91,3.91,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Dartmouth College,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,516,https://cycletrack.org/explorer/school/Dartmouth,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
42,Des Moines University,cycletrack_acceptance_median,1,single_source,3.79,3.79,,509.5,509.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Des Moines University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.79,509.5,https://cycletrack.org/explorer/school/Des Moines,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
43,Des Moines University College of Osteopathic Medicine,shemmassian,1,single_source,3.71;3.76;3.4,3.4 - 3.76,0.36,507;501;504,501 - 507,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Des Moines University College of Osteopathic Medicine; Marian University College of Osteopathic Medicine; Liberty University College of Osteopathic Medicine,published school average GPA and MCAT,3.71; 3.76; 3.4,507; 501; 504,,,,,,,,,,,,,,
44,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,matchguy,1,single_source,3.92,3.92,,518,518,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,published school average GPA and MCAT,3.92,518,,,,,,,,
