cluster_id,canonical_school_name,school_id,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,recommended_action
125,Northeast Ohio Medical University,,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.76;3.75;3.75;3.84,3.75 - 3.84,0.09,507;511;511;515,507 - 515,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
130,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,md_nova_southeastern_university_dr_kiran_c_patel_college_of_allopathic_medicine_for,matchguy;shemmassian,2,major_conflict,3.75;3.6;3.75,3.6 - 3.75,0.15,512;506;512,506 - 512,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
138,Oregon Health & Science University School of Medicine,md_oregon_health_and_science_university_school_of_medicine_portland_oregon,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.77;3.66;3.66,3.66 - 3.77,0.11,512;509;509,509 - 512,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
142,Pennsylvania State University College of Medicine,,prospectivedoctor;shemmassian,2,minor_conflict,3.81;3.75,3.75 - 3.81,0.06,512;511,511 - 512,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
144,Philadelphia College of Osteopathic Medicine,do_pcom_philadelphia_college_of_osteopathic_medicine_philadelphia_pennsylvania,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.5;3.77;3.75,3.5 - 3.77,0.27,504;510.5;506.5,504 - 510.5,6.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
147,Ponce School of Medicine and Health Sciences,,prospectivedoctor;shemmassian,2,major_conflict,3.64;3.5,3.5 - 3.64,0.14,499;499,499 - 499,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
156,Rush Medical College of Rush University,,prospectivedoctor;shemmassian,2,minor_conflict,3.67;3.72,3.67 - 3.72,0.05,511;510,510 - 511,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
159,Rutgers New Jersey Medical School,md_rutgers_new_jersey_medical_school_newark_new_jersey,prospectivedoctor;shemmassian,2,major_conflict,3.82;3.7,3.7 - 3.82,0.12,515;515,515 - 515,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
167,San Juan Bautista School of Medicine,,cycletrack_acceptance_median;prospectivedoctor;shemmassian,3,major_conflict,3.71;3.57;3.72,3.57 - 3.72,0.15,498;499;506,498 - 506,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
170,Southern Illinois University School of Medicine,md_southern_illinois_university_school_of_medicine_springfield_illinois,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.81;3.79;3.7;3.81;2.8,2.8 - 3.81,1.01,506;516;508;512,506 - 516,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
