severity,file,row_id,field,message,suggested_fix
warning,data/manual/admissions_source_queue.csv,do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_unthsc_tcom_university_of_north_texas_health_science_center_texas_college_of_ost,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_shsu_com_sam_houston_state_university_college_of_osteopathic_medicine_huntsville,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_uiwsom_university_of_the_incarnate_word_school_of_osteopathic_medicine_san_anton,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_rvucom_su_campus_rocky_vista_university_college_of_osteopathic_medicine_ivins_ut,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_vcom_virginia_edward_via_college_of_osteopathic_medicine_blacksburg_virginia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lucom_liberty_university_college_of_osteopathic_medicine_lynchburg_virginia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_pnwu_com_pacific_northwest_university_of_health_sciences_college_of_osteopathic_,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_wvsom_west_virginia_school_of_osteopathic_medicine_lewisburg_west_virginia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_alabama_at_birmingham_marnix_e_heersink_school_of_medicine_birming,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_frederick_p_whiddon_college_of_medicine_at_the_university_of_south_alabama_mobil,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_arizona_college_of_medicine_phoenix_phoenix_arizona,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_alice_l_walton_school_of_medicine_bentonville_arkansas,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
