source_table,source_row_number,source_school_name,source_state,source_degree_type,best_school_id,best_school_name,best_match_score,second_school_id,second_school_name,second_match_score,match_label,review_reason,recommended_action
all_comparable_mcat_gpa_sources.csv,262,Burrell College of Osteopathic Medicine at New Mexico State University,,,do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,0.847,do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,0.847,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,264,University of Nevada Las Vegas School of Medicine,,,md_university_of_nevada_reno_school_of_medicine_reno_nevada,"University of Nevada, Reno School of Medicine",0.864,md_university_of_kansas_school_of_medicine_kansas_city_kansas,University of Kansas School of Medicine,0.816,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,269,Hofstra Northwell School of Medicine,,,md_donald_and_barbara_zucker_school_of_medicine_at_hofstra_northwell_hempstead_new_,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,0.75,md_morehouse_school_of_medicine_atlanta_georgia,Morehouse School of Medicine,0.69,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,272,New York University Grossman School of Medicine,,,md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,0.789,md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,0.778,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,273,New York University Long Island School of Medicine,,,md_loma_linda_university_school_of_medicine_loma_linda_california,Loma Linda University School of Medicine,0.786,md_university_of_georgia_school_of_medicine_athens_georgia,University of Georgia School of Medicine,0.765,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,274,SUNY - Downstate Medical Center College of Medicine,,,md_suny_downstate_health_sciences_university_college_of_medicine_brooklyn_new_york,SUNY Downstate Health Sciences University College of Medicine,0.788,md_university_of_arkansas_for_medical_sciences_college_of_medicine_little_rock_arka,University of Arkansas for Medical Sciences College of Medicine,0.707,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,276,SUNY - Upstate Medical University,,,md_wayne_state_university_school_of_medicine_detroit_michigan,Wayne State University School of Medicine,0.638,md_tulane_university_school_of_medicine_new_orleans_louisiana,Tulane University School of Medicine,0.625,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,277,Stony Brook University School of Medicine,,,md_renaissance_school_of_medicine_at_stony_brook_university_stony_brook_new_york,Renaissance School of Medicine at Stony Brook University,0.864,md_stanford_university_school_of_medicine_palo_alto_california,Stanford University School of Medicine,0.849,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,279,Weill Cornell Medical College,,,md_weill_cornell_medicine_new_york_new_york,Weill Cornell Medicine,0.784,md_new_york_medical_college_valhalla_new_york,New York Medical College,0.755,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,281,Touro College of Osteopathic Medicine - Middletown Campus,,,do_tourocom_harlem_touro_college_of_osteopathic_medicine_new_york_new_york,Touro College of Osteopathic Medicine,0.791,do_tourocom_middletown_touro_college_of_osteopathic_medicine_middletown_new_york,Touro College of Osteopathic Medicine,0.791,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,282,Touro College of Osteopathic Medicine - Harlem Campus,,,do_tourocom_harlem_touro_college_of_osteopathic_medicine_new_york_new_york,Touro College of Osteopathic Medicine,0.829,do_tourocom_middletown_touro_college_of_osteopathic_medicine_middletown_new_york,Touro College of Osteopathic Medicine,0.829,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,284,Northeast Ohio Medical University,,,md_northeast_ohio_medical_university_college_of_medicine_rootstown_ohio,Northeast Ohio Medical University College of Medicine,0.795,md_university_of_minnesota_medical_school_minneapolis_minnesota,University of Minnesota Medical School,0.735,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,289,Ohio University Heritage College of Osteopathic Medicine,,,do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,Ohio University Heritage College of Osteopathic Medicine,1,do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,Ohio University Heritage College of Osteopathic Medicine,1,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,29,University of Miami Miller School of Medicine,,,md_university_of_miami_leonard_m_miller_school_of_medicine_miami_florida,University of Miami Leonard M. Miller School of Medicine,0.886,md_university_of_louisville_school_of_medicine_louisville_kentucky,University of Louisville School of Medicine,0.842,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,296,Pennsylvania State University College of Medicine,,,md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,0.851,md_the_ohio_state_university_college_of_medicine_columbus_ohio,The Ohio State University College of Medicine,0.833,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,297,Perelman School of Medicine University of Pennsylvania,,,md_raymond_and_ruth_perelman_school_of_medicine_at_the_university_of_pennsylvania_p,Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,0.881,md_mercer_university_school_of_medicine_macon_georgia,Mercer University School of Medicine,0.741,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,30,University of South Florida Health Morsani College of Medicine,,,md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,0.804,md_university_of_florida_college_of_medicine_gainesville_florida,University of Florida College of Medicine,0.769,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,303,Ponce School of Medicine and Health Sciences,,,md_oregon_health_and_science_university_school_of_medicine_portland_oregon,Oregon Health & Science University School of Medicine,0.8,md_lsu_health_sciences_center_school_of_medicine_in_new_orleans_new_orleans_louisia,LSU Health Sciences Center School of Medicine in New Orleans,0.723,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,304,San Juan Bautista School of Medicine,,,md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,0.689,md_cuny_school_of_medicine_new_york_new_york,CUNY School of Medicine,0.679,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,305,Universidad Central Del Caribe School of Medicine,,,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,0.736,md_university_of_california_davis_school_of_medicine_davis_california,"University of California, Davis School of Medicine",0.719,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,306,University of Puerto Rico School of Medicine,,,md_university_of_new_mexico_school_of_medicine_albuquerque_new_mexico,University of New Mexico School of Medicine,0.853,md_mercer_university_school_of_medicine_macon_georgia,Mercer University School of Medicine,0.845,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,309,University of South Carolina School of Medicine - Columbia,,,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,0.857,md_university_of_south_carolina_school_of_medicine_greenville_greenville_south_caro,"University of South Carolina School of Medicine, Greenville",0.843,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,311,Edward Via College of Osteopathic Medicine - Carolinas Campus,,,do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,0.893,do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,0.821,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,318,Baylor College of Medicine,,,md_baylor_college_of_medicine_school_of_medicine_houston_texas,Baylor College of Medicine School of Medicine,0.868,md_albany_medical_college_albany_new_york,Albany Medical College,0.756,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,319,TCU and UNTHSC School of Medicine,,,md_cuny_school_of_medicine_new_york_new_york,CUNY School of Medicine,0.826,md_tufts_university_school_of_medicine_boston_massachusetts,Tufts University School of Medicine,0.759,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,320,Texas A&M Health Science Center College of Medicine,,,md_university_of_tennessee_health_science_center_college_of_medicine_memphis_tennes,University of Tennessee Health Science Center College of Medicine,0.785,md_texas_tech_university_health_sciences_center_school_of_medicine_lubbock_texas,Texas Tech University Health Sciences Center School of Medicine,0.778,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,325,University of Texas Medical Branch School of Medicine,,,md_university_of_texas_medical_branch_john_sealy_school_of_medicine_galveston_texas,University of Texas Medical Branch John Sealy School of Medicine,0.895,md_the_university_of_texas_at_tyler_school_of_medicine_tyler_texas,The University of Texas at Tyler School of Medicine,0.824,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,326,University of Texas McGovern Medical School at Houston,,,md_dell_medical_school_university_of_texas_at_austin_austin_texas,Dell Medical School – University of Texas at Austin,0.835,md_mcgovern_medical_school_at_uthealth_houston_houston_texas,McGovern Medical School at UTHealth Houston,0.818,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,328,University of Texas School of Medicine at San Antonio,,,md_saint_louis_university_school_of_medicine_st_louis_missouri,Saint Louis University School of Medicine,0.805,md_university_of_california_san_diego_school_of_medicine_san_diego_california,"University of California, San Diego School of Medicine",0.791,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,333,University of Utah School of Medicine,,,md_university_of_kansas_school_of_medicine_kansas_city_kansas,University of Kansas School of Medicine,0.875,md_university_of_georgia_school_of_medicine_athens_georgia,University of Georgia School of Medicine,0.862,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,335,Eastern Virginia Medical School,,,md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,0.725,md_eastern_virginia_medical_school_at_old_dominion_university_norfolk_virginia,Eastern Virginia Medical School at Old Dominion University,0.721,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,337,Virginia Tech Carilion School of Medicine and Research Institute,,,md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,0.8,md_university_of_south_carolina_school_of_medicine_greenville_greenville_south_caro,"University of South Carolina School of Medicine, Greenville",0.624,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,339,Edward Via College of Osteopathic Medicine - Virginia Campus,,,do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,0.919,do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,0.83,review,below_safe_threshold,review candidate stats match
