school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,fetch_status,extraction_status,review_status,review_reason,evidence_text,recommended_action,last_checked,notes
md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,Florida International University Herbert Wertheim College of Medicine,MD,https://medicine.fiu.edu/admissions/class-profile/,Admissions | Doctor of Medicine (M.D.) | FIU Herbert Wertheim College of Medicine,annual_report,medicine.fiu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,Florida International University Herbert Wertheim College of Medicine,MD,https://medicine.fiu.edu/admissions/class-statistics/,Admissions | Doctor of Medicine (M.D.) | FIU Herbert Wertheim College of Medicine,annual_report,medicine.fiu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,Florida International University Herbert Wertheim College of Medicine,MD,https://medicine.fiu.edu/admissions/entering-class-profile/,Admissions | Doctor of Medicine (M.D.) | FIU Herbert Wertheim College of Medicine,annual_report,medicine.fiu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,Florida International University Herbert Wertheim College of Medicine,MD,https://medicine.fiu.edu/admissions/entering-class-statistics/,Admissions | Doctor of Medicine (M.D.) | FIU Herbert Wertheim College of Medicine,annual_report,medicine.fiu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,http://med.fsu.edu/index.cfm?page=mdAdmissions.home&usemenu=prospectiveStudents,Florida State University College of Medicine,admissions_page,med.fsu.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/daytona/directory/student-profiles,Student Profiles | College of Medicine,class_profile,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/ftpierce/directory/student-profiles,Student Profiles | College of Medicine,class_profile,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/marianna/directory/student-profiles,Student Profiles | College of Medicine,class_profile,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/newspubs/2018-annual-report,2018 Annual Report | College of Medicine,annual_report,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/newspubs/publications/2009-annual-report,2009 Annual Report | College of Medicine,annual_report,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/newspubs/publications/2010-annual-report,2010 Annual Report | College of Medicine,annual_report,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/newspubs/publications/2011-annual-report,2011 Annual Report | College of Medicine,annual_report,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/newspubs/publications/2012-annual-report,2012 Annual Report | College of Medicine,annual_report,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/newspubs/publications/2013-annual-report,2013 Annual Report | College of Medicine,annual_report,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,https://med.fsu.edu/newspubs/publications/2014-annual-report,2014 annual report | College of Medicine,annual_report,med.fsu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
