school_id,school_name,degree_type,candidate_count,matched_candidate_count,fetched_candidate_count,accepted_extraction_count,current_canonical_has_mcat,current_canonical_has_gpa,coverage_status,next_action
do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,Ohio University Heritage College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,Ohio University Heritage College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_ou_hcom_dublin_ohio_university_heritage_college_of_osteopathic_medicine_dublin_d,Ohio University Heritage College of Osteopathic Medicine – Dublin,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_osu_com_tahlequah_oklahoma_state_university_center_for_health_sciences_college_o,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine Tahlequah,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_westernu_comp_northwest_western_university_of_health_sciences_college_of_osteopa,Western University of Health Sciences College of Osteopathic Medicine of the Pacific-Northwest,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,Lake Erie College of Osteopathic Medicine – Erie,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lecom_seton_hill_lake_erie_college_of_osteopathic_medicine_seton_hill_greensburg,Lake Erie College of Osteopathic Medicine – Seton Hill,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_iupcom_indiana_university_of_pennsylvania_college_of_osteopathic_medicine_indian,Indiana University of Pennsylvania College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_pcom_philadelphia_college_of_osteopathic_medicine_philadelphia_pennsylvania,Philadelphia College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_duqcom_duquesne_university_nasuti_college_of_osteopathic_medicine_pittsburgh_pen,Duquesne University Nasuti College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,Edward Via College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lmu_dcom_lincoln_memorial_university_debusk_college_of_osteopathic_medicine_harr,Lincoln Memorial University-DeBusk College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lmu_dcom_knoxville_lincoln_memorial_university_debusk_college_of_osteopathic_med,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Knoxville,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
