school_id,school_name,degree_type,current_mcat,current_gpa,aacom_mcat,aacom_gpa,mcat_delta,gpa_delta,current_source_name,current_source_url,aacom_source_url,conflict_status,notes
do_rvucom_su_campus_rocky_vista_university_college_of_osteopathic_medicine_ivins_ut,Rocky Vista University College of Osteopathic Medicine,DO,,,504.4,3.61,,,,,https://www.aacom.org/detail-pages/com/rocky-vista-university-college-of-osteopathic-medicine-utah-campus,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_rowan_virtuasom_rowan_virtua_school_of_osteopathic_medicine_stratford_new_jersey,Rowan-Virtua School of Osteopathic Medicine,DO,508,3.7,507.9,3.72,-0.1,0.02,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/rowan-virtua-school-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_rowan_virtuasom_sewell_rowan_virtua_school_of_osteopathic_medicine_sewell_new_je,Rowan-Virtua School of Osteopathic Medicine,DO,,,507.9,3.72,,,,,https://www.aacom.org/detail-pages/com/rowan-virtua-som-sewell-campus,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_tourocom_harlem_touro_college_of_osteopathic_medicine_new_york_new_york,Touro College of Osteopathic Medicine,DO,505.1,3.59,501.4,3.48,-3.7,-0.11,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/touro-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_tourocom_middletown_touro_college_of_osteopathic_medicine_middletown_new_york,Touro College of Osteopathic Medicine,DO,,,501.4,3.48,,,,,https://www.aacom.org/detail-pages/com/tourocom-middletown,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_tourocom_great_falls_touro_college_of_osteopathic_medicine_great_falls_great_fal,Touro College of Osteopathic Medicine – Great Falls,DO,,,501.4,3.48,,,,,https://www.aacom.org/detail-pages/com/tourocom-montana,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_tucom_touro_university_college_of_osteopathic_medicine_california_vallejo_califo,Touro University College of Osteopathic Medicine-California,DO,505.7,3.52,506.1,3.59,0.4,0.07,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/touro-university-california-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_tuncom_touro_university_nevada_college_of_osteopathic_medicine_henderson_nevada,Touro University Nevada College of Osteopathic Medicine,DO,505.7,3.52,505.6,3.63,-0.1,0.11,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/touro-university-nevada-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_unecom_university_of_new_england_college_of_osteopathic_medicine_biddeford_maine,University of New England College of Osteopathic Medicine,DO,502,3.62,503,3.58,1,-0.04,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/university-of-new-england-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_up_kycom_university_of_pikeville_kentucky_college_of_osteopathic_medicine_pikevi,University of Pikeville Kentucky College of Osteopathic Medicine,DO,502,3.5,498.6,3.51,-3.4,0.01,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/kentucky-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_uiwsom_university_of_the_incarnate_word_school_of_osteopathic_medicine_san_anton,University of the Incarnate Word School of Osteopathic Medicine,DO,504,3.6,504.8,3.6,0.8,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/university-of-the-incarnate-word-school-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_wvsom_west_virginia_school_of_osteopathic_medicine_lewisburg_west_virginia,West Virginia School of Osteopathic Medicine,DO,502,3.53,501,3.62,-1,0.09,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/west-virginia-school-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_westernu_comp_western_university_of_health_sciences_college_of_osteopathic_medic,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,DO,508,3.7,508.4,3.72,0.4,0.02,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/western-university-of-health-sciences-college-of-osteopathic-medicine-of-the-pacific,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_westernu_comp_northwest_western_university_of_health_sciences_college_of_osteopa,Western University of Health Sciences College of Osteopathic Medicine of the Pacific-Northwest,DO,508,3.7,508.4,3.72,0.4,0.02,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/western-u-comp-northwest,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_wcucom_william_carey_university_college_of_osteopathic_medicine_hattiesburg_miss,William Carey University College of Osteopathic Medicine,DO,505.5,3.61,498.1,3.5,-7.4,-0.11,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/william-carey-university-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
